CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,Views,postId,userId
3,65,Reputation,2316,11,74,13526,1126,1525,74
3,65,Reputation,2316,26,74,36345,1126,2125,74
0,65,Reputation,2316,9,74,8826,1126,2358,74
4,65,Reputation,2316,18,74,4758,1126,2499,74
5,65,Reputation,2316,3,74,2648,1126,4734,74
0,65,Reputation,2316,8,74,1256,1126,4735,74
10,65,Reputation,2316,10,74,1265,1126,10251,74
0,65,Reputation,2316,6,74,188,1126,11678,74
2,65,Reputation,2316,1,74,71,1126,100569,74
3,0,Reputation,685,14,68,4277,49,5387,82
0,0,Reputation,685,10,68,1918,49,5502,82
5,0,Reputation,685,7,68,217,49,11091,82
9,0,Reputation,685,7,68,255,49,12721,82
2,0,Reputation,685,4,68,125,49,17967,82
2,0,Reputation,685,3,68,60,49,28571,82
3,0,Reputation,685,2,68,137,49,38429,82
11,0,Reputation,804,122,11,39118,64,118,83
2,2,Reputation,740,19,58,4090,89,196,87
5,2,Reputation,740,4,58,3161,89,14497,87
0,126,Reputation,14082,2,4235,435,3320,341,88
0,126,Reputation,14082,7,4235,466,3320,526,88
2,126,Reputation,14082,3,4235,247,3320,602,88
0,126,Reputation,14082,22,4235,4341,3320,631,88
0,126,Reputation,14082,17,4235,2486,3320,2179,88
0,126,Reputation,14082,10,4235,2740,3320,2455,88
0,126,Reputation,14082,15,4235,1230,3320,4211,88
4,126,Reputation,14082,22,4235,3093,3320,6298,88
0,126,Reputation,14082,2,4235,1356,3320,10501,88
1,126,Reputation,14082,10,4235,649,3320,12763,88
0,126,Reputation,14082,4,4235,316,3320,29717,88
8,4,Reputation,1281,31,61,3293,105,411,89
0,4,Reputation,1281,20,61,5291,105,414,89
1,1,Reputation,708,35,44,14608,61,97,114
2,1,Reputation,708,6,44,2504,61,527,114
7,1,Reputation,708,5,44,324,61,1355,114
8,1,Reputation,708,3,44,210,61,1501,114
0,1,Reputation,708,6,44,313,61,1780,114
0,1,Reputation,708,3,44,130,61,18682,114
0,1,Reputation,708,4,44,620,61,24837,114
8,0,Reputation,758,11,41,375,241,9299,139
1,0,Reputation,758,9,41,397,241,29332,139
3,1,Reputation,1396,12,477,4419,269,146,144
4,1,Reputation,1396,12,477,3981,269,612,144
2,1,Reputation,1396,3,477,556,269,1081,144
0,1,Reputation,1396,10,477,864,269,1352,144
6,1,Reputation,1396,17,477,1101,269,1764,144
1,1,Reputation,1396,7,477,2988,269,2591,144
0,1,Reputation,1396,7,477,282,269,5128,144
5,1,Reputation,1396,18,477,16285,269,6350,144
2,1,Reputation,1396,6,477,536,269,10058,144
1,1,Reputation,1396,1,477,120,269,14741,144
2,1,Reputation,1396,2,477,330,269,15239,144
1,1,Reputation,1396,4,477,575,269,15322,144
1,1,Reputation,1396,2,477,92,269,20758,144
1,1,Reputation,1396,5,477,360,269,31358,144
1,1,Reputation,1396,4,477,714,269,32188,144
0,59,Reputation,18283,50,1014,39097,3781,181,159
3,59,Reputation,18283,51,1014,9772,3781,213,159
6,59,Reputation,18283,44,1014,11149,3781,534,159
0,59,Reputation,18283,15,1014,3833,3781,622,159
5,59,Reputation,18283,66,1014,28878,3781,1444,159
6,59,Reputation,18283,12,1014,366,3781,3752,159
6,59,Reputation,18283,8,1014,226,3781,13530,159
4,59,Reputation,18283,26,1014,486,3781,91462,159
2,4,Reputation,792,34,163,9369,78,539,174
4,4,Reputation,792,21,163,5593,78,1815,174
0,4,Reputation,792,4,163,194,78,1955,174
0,4,Reputation,792,3,163,385,78,5771,174
6,10,Reputation,1416,25,352,3894,147,3331,179
0,10,Reputation,1416,9,352,1264,147,4101,179
1,10,Reputation,1416,2,352,135,147,7521,179
0,10,Reputation,1416,5,352,7537,147,8107,179
0,10,Reputation,1416,3,352,2056,147,8750,179
4,10,Reputation,1416,4,352,279,147,10386,179
2,10,Reputation,1416,42,352,4982,147,13686,179
6,10,Reputation,1416,3,352,265,147,14671,179
0,10,Reputation,1416,5,352,1371,147,15635,179
8,10,Reputation,1416,6,352,323,147,15784,179
1,10,Reputation,1416,10,352,4454,147,16516,179
5,10,Reputation,1416,1,352,1540,147,16528,179
1,10,Reputation,1416,1,352,1204,147,16930,179
0,10,Reputation,1416,3,352,439,147,18105,179
9,10,Reputation,1416,6,352,635,147,18745,179
3,10,Reputation,1416,3,352,313,147,24559,179
4,10,Reputation,1416,3,352,522,147,24613,179
5,10,Reputation,1416,2,352,156,147,27428,179
5,10,Reputation,1416,6,352,1071,147,27429,179
0,10,Reputation,1416,3,352,684,147,28772,179
0,10,Reputation,1416,1,352,636,147,30220,179
0,10,Reputation,1416,2,352,111,147,30423,179
0,10,Reputation,1416,7,352,779,147,30907,179
0,10,Reputation,1416,1,352,56,147,34407,179
2,10,Reputation,1416,2,352,49,147,35761,179
2,10,Reputation,1416,4,352,426,147,35819,179
0,10,Reputation,1416,0,352,45,147,79041,179
1,10,Reputation,1416,7,352,195,147,84341,179
4,10,Reputation,1416,4,352,71,147,91642,179
4,10,Reputation,1416,6,352,132,147,99058,179
2,45,Reputation,22625,16,2496,6033,4069,203,183
3,45,Reputation,22625,48,2496,4470,4069,485,183
2,45,Reputation,22625,12,2496,7655,4069,1580,183
3,45,Reputation,22625,7,2496,1032,4069,1646,183
0,45,Reputation,22625,4,2496,319,4069,1942,183
0,45,Reputation,22625,53,2496,2985,4069,1980,183
0,45,Reputation,22625,4,2496,157,4069,2022,183
1,45,Reputation,22625,11,2496,1054,4069,2061,183
0,45,Reputation,22625,3,2496,824,4069,2259,183
3,45,Reputation,22625,13,2496,1030,4069,2432,183
0,45,Reputation,22625,9,2496,5812,4069,2469,183
3,45,Reputation,22625,6,2496,279,4069,2648,183
0,45,Reputation,22625,19,2496,2472,4069,2777,183
0,45,Reputation,22625,6,2496,156,4069,2966,183
0,45,Reputation,22625,8,2496,634,4069,3006,183
4,45,Reputation,22625,15,2496,3712,4069,3038,183
4,45,Reputation,22625,3,2496,267,4069,3100,183
4,45,Reputation,22625,7,2496,225,4069,3180,183
4,45,Reputation,22625,23,2496,10853,4069,3466,183
9,45,Reputation,22625,38,2496,1548,4069,3542,183
0,45,Reputation,22625,47,2496,49948,4069,3730,183
2,45,Reputation,22625,6,2496,725,4069,4131,183
2,45,Reputation,22625,20,2496,1199,4069,4429,183
1,45,Reputation,22625,26,2496,672,4069,4466,183
0,45,Reputation,22625,6,2496,347,4069,4500,183
6,45,Reputation,22625,3,2496,440,4069,4501,183
0,45,Reputation,22625,7,2496,1866,4069,4898,183
2,45,Reputation,22625,13,2496,3751,4069,5238,183
6,45,Reputation,22625,16,2496,470,4069,5249,183
2,45,Reputation,22625,39,2496,1764,4069,5418,183
6,45,Reputation,22625,9,2496,217,4069,7285,183
0,45,Reputation,22625,5,2496,52,4069,9304,183
8,45,Reputation,22625,3,2496,601,4069,9988,183
0,45,Reputation,22625,9,2496,1271,4069,10020,183
0,45,Reputation,22625,32,2496,37288,4069,10079,183
0,45,Reputation,22625,2,2496,1069,4069,10137,183
7,45,Reputation,22625,6,2496,10288,4069,10884,183
0,45,Reputation,22625,3,2496,880,4069,11189,183
0,45,Reputation,22625,5,2496,831,4069,11191,183
0,45,Reputation,22625,11,2496,241,4069,11255,183
0,45,Reputation,22625,4,2496,438,4069,11616,183
0,45,Reputation,22625,3,2496,1859,4069,11653,183
1,45,Reputation,22625,4,2496,169,4069,12663,183
4,45,Reputation,22625,1,2496,202,4069,13146,183
7,45,Reputation,22625,19,2496,507,4069,13148,183
3,45,Reputation,22625,17,2496,437,4069,14067,183
0,45,Reputation,22625,7,2496,666,4069,16262,183
5,45,Reputation,22625,8,2496,507,4069,16454,183
0,45,Reputation,22625,16,2496,727,4069,16631,183
3,45,Reputation,22625,7,2496,767,4069,16646,183
0,45,Reputation,22625,2,2496,105,4069,16698,183
5,45,Reputation,22625,4,2496,4610,4069,19729,183
0,45,Reputation,22625,5,2496,526,4069,20093,183
2,45,Reputation,22625,8,2496,381,4069,30294,183
12,45,Reputation,22625,13,2496,7307,4069,30303,183
0,45,Reputation,22625,4,2496,221,4069,30736,183
0,45,Reputation,22625,1,2496,1393,4069,30790,183
2,45,Reputation,22625,7,2496,420,4069,55929,183
1,45,Reputation,22625,2,2496,328,4069,55990,183
1,45,Reputation,22625,4,2496,422,4069,56747,183
2,45,Reputation,22625,1,2496,281,4069,57650,183
1,45,Reputation,22625,2,2496,64,4069,58758,183
2,45,Reputation,22625,9,2496,2569,4069,58765,183
7,45,Reputation,22625,10,2496,499,4069,61809,183
7,45,Reputation,22625,6,2496,640,4069,62795,183
3,45,Reputation,22625,4,2496,86,4069,63194,183
0,45,Reputation,22625,9,2496,215,4069,63386,183
0,45,Reputation,22625,5,2496,172,4069,63389,183
3,45,Reputation,22625,3,2496,227,4069,67113,183
1,45,Reputation,22625,4,2496,604,4069,71777,183
0,45,Reputation,22625,2,2496,189,4069,72391,183
0,45,Reputation,22625,4,2496,1603,4069,72400,183
0,45,Reputation,22625,4,2496,76,4069,72402,183
1,45,Reputation,22625,3,2496,126,4069,85690,183
3,45,Reputation,22625,4,2496,61,4069,110534,183
0,24,Reputation,1166,3,482,430,146,212,190
3,24,Reputation,1166,10,482,1043,146,573,190
3,24,Reputation,1166,2,482,242,146,590,190
0,24,Reputation,1166,7,482,1836,146,723,190
0,24,Reputation,1166,4,482,400,146,3167,190
0,24,Reputation,1166,14,482,16090,146,3476,190
0,24,Reputation,1166,9,482,3928,146,3695,190
0,24,Reputation,1166,1,482,994,146,15741,190
1,24,Reputation,1166,1,482,3791,146,15798,190
2,114,Reputation,6140,7,497,617,649,225,196
0,114,Reputation,6140,27,497,2939,649,305,196
0,114,Reputation,6140,14,497,25597,649,362,196
3,114,Reputation,6140,14,497,6570,649,575,196
2,114,Reputation,6140,79,497,22354,649,577,196
9,114,Reputation,6140,19,497,1244,649,608,196
3,114,Reputation,6140,0,497,538,649,1012,196
4,114,Reputation,6140,5,497,757,649,1256,196
7,114,Reputation,6140,4,497,3092,649,1286,196
1,114,Reputation,6140,3,497,575,649,1412,196
1,114,Reputation,6140,2,497,529,649,1413,196
3,114,Reputation,6140,26,497,15463,649,1432,196
0,114,Reputation,6140,3,497,357,649,1583,196
0,114,Reputation,6140,5,497,372,649,1749,196
0,114,Reputation,6140,6,497,2551,649,2390,196
0,114,Reputation,6140,12,497,1696,649,4052,196
2,114,Reputation,6140,12,497,6703,649,4544,196
0,114,Reputation,6140,5,497,786,649,4753,196
3,114,Reputation,6140,29,497,34044,649,5007,196
1,114,Reputation,6140,3,497,208,649,5352,196
2,114,Reputation,6140,11,497,4417,649,5517,196
0,114,Reputation,6140,7,497,1271,649,5912,196
1,114,Reputation,6140,6,497,2712,649,6557,196
3,114,Reputation,6140,2,497,3053,649,6684,196
0,114,Reputation,6140,3,497,177,649,9519,196
7,114,Reputation,6140,8,497,1019,649,13132,196
4,114,Reputation,6140,17,497,8410,649,13197,196
0,114,Reputation,6140,2,497,63,649,13411,196
0,114,Reputation,6140,4,497,879,649,14323,196
2,114,Reputation,6140,7,497,298,649,15771,196
9,114,Reputation,6140,8,497,174,649,22832,196
3,114,Reputation,6140,0,497,291,649,25745,196
12,114,Reputation,6140,0,497,146,649,47736,196
9,114,Reputation,6140,17,497,550,649,49832,196
0,114,Reputation,6140,1,497,67,649,50875,196
9,114,Reputation,6140,2,497,188,649,51005,196
1,114,Reputation,6140,3,497,308,649,51155,196
0,114,Reputation,6140,6,497,196,649,51258,196
0,114,Reputation,6140,0,497,66,649,52244,196
4,114,Reputation,6140,7,497,126,649,59683,196
2,114,Reputation,6140,1,497,45,649,59985,196
0,114,Reputation,6140,0,497,30,649,62454,196
4,114,Reputation,6140,13,497,702,649,63441,196
0,114,Reputation,6140,2,497,32,649,65236,196
2,114,Reputation,6140,2,497,44,649,93211,196
0,114,Reputation,6140,8,497,135,649,96738,196
0,114,Reputation,6140,22,497,3695,649,96739,196
0,114,Reputation,6140,1,497,60,649,96764,196
2,114,Reputation,6140,2,497,36,649,96829,196
0,114,Reputation,6140,1,497,65,649,99393,196
2,114,Reputation,6140,3,497,21,649,109579,196
5,0,Reputation,908,4,69,858,42,1709,198
0,0,Reputation,908,2,69,358,42,11753,198
6,0,Reputation,908,5,69,337,42,19955,198
11,0,Reputation,908,1,69,782,42,20936,198
0,0,Reputation,908,5,69,355,42,34034,198
1,0,Reputation,908,1,69,144,42,41824,198
5,0,Reputation,908,20,69,3162,42,48396,198
5,3,Reputation,1815,12,149,470,188,242,199
0,3,Reputation,1815,7,149,885,188,481,199
1,3,Reputation,1815,20,149,6142,188,1637,199
3,3,Reputation,1815,6,149,283,188,2385,199
1,3,Reputation,1815,10,149,131,188,3841,199
3,3,Reputation,1815,8,149,1216,188,4383,199
0,3,Reputation,1815,17,149,4854,188,4713,199
0,3,Reputation,1815,5,149,926,188,5079,199
0,3,Reputation,1815,40,149,16006,188,5344,199
0,3,Reputation,1815,6,149,939,188,7679,199
1,3,Reputation,1815,4,149,166,188,7788,199
6,3,Reputation,1815,8,149,190,188,7791,199
3,3,Reputation,1815,62,149,1865,188,11659,199
2,3,Reputation,1815,25,149,12366,188,16390,199
1,3,Reputation,1815,1,149,47,188,17845,199
11,3,Reputation,1815,6,149,2519,188,25415,199
5,3,Reputation,1815,0,149,219,188,45664,199
3,3,Reputation,1815,5,149,197,188,67725,199
3,3,Reputation,1815,2,149,52,188,73310,199
0,0,Reputation,2496,12,5,3033,384,277,215
0,0,Reputation,2496,22,5,13685,384,283,215
4,0,Reputation,2496,9,5,9951,384,452,215
1,0,Reputation,2496,12,5,3303,384,507,215
5,0,Reputation,2496,8,5,1855,384,563,215
2,0,Reputation,2496,5,5,1498,384,564,215
1,0,Reputation,615,6,95,120,77,278,221
2,0,Reputation,615,5,95,4381,77,4305,221
0,0,Reputation,615,5,95,502,77,6897,221
1,0,Reputation,615,7,95,3077,77,7240,221
1,0,Reputation,615,4,95,201,77,10529,221
0,0,Reputation,615,2,95,379,77,15639,221
4,0,Reputation,615,11,95,11637,77,19271,221
0,19,Reputation,4022,14,345,1711,1471,480,223
2,19,Reputation,4022,16,345,2262,1471,490,223
0,19,Reputation,4022,5,345,644,1471,725,223
1,19,Reputation,4022,124,345,34780,1471,726,223
1,19,Reputation,4022,6,345,942,1471,812,223
2,19,Reputation,4022,6,345,392,1471,880,223
2,19,Reputation,4022,16,345,4214,1471,973,223
0,19,Reputation,4022,26,345,2469,1471,4364,223
2,19,Reputation,4022,12,345,296,1471,6838,223
4,19,Reputation,4022,6,345,177,1471,7103,223
0,19,Reputation,4022,5,345,390,1471,7251,223
4,19,Reputation,4022,3,345,103,1471,11519,223
0,19,Reputation,4022,9,345,160,1471,31892,223
0,0,Reputation,1293,4,55,1603,266,2794,226
0,0,Reputation,1293,11,55,834,266,3316,226
0,0,Reputation,1293,12,55,1099,266,4034,226
3,0,Reputation,1293,44,55,7814,266,4220,226
0,0,Reputation,1293,5,55,1463,266,4298,226
2,0,Reputation,1293,3,55,236,266,4606,226
4,0,Reputation,1293,3,55,1608,266,9610,226
0,0,Reputation,1293,6,55,1070,266,10062,226
0,0,Reputation,1293,2,55,94,266,10851,226
0,0,Reputation,1293,1,55,239,266,21687,226
10,0,Reputation,1293,2,55,310,266,30474,226
2,0,Reputation,1293,3,55,1427,266,35776,226
0,0,Reputation,1293,0,55,169,266,36021,226
0,0,Reputation,1293,1,55,80,266,37967,226
3,0,Reputation,1293,1,55,492,266,38225,226
1,0,Reputation,1293,3,55,192,266,65610,226
0,0,Reputation,1293,1,55,28,266,75052,226
2,0,Reputation,1293,0,55,145,266,81680,226
3,0,Reputation,629,8,65,1114,64,2335,229
0,0,Reputation,629,3,65,237,64,6998,229
1,2,Reputation,1233,17,170,1870,106,6308,230
1,2,Reputation,1233,1,170,106,106,9688,230
7,2,Reputation,1233,18,170,9910,106,9699,230
0,2,Reputation,1233,4,170,1048,106,10343,230
2,2,Reputation,1233,4,170,284,106,10977,230
8,2,Reputation,1233,14,170,2336,106,13797,230
4,2,Reputation,1233,3,170,389,106,16556,230
0,2,Reputation,1233,4,170,1336,106,19384,230
1,2,Reputation,1233,4,170,979,106,26512,230
5,2,Reputation,1233,17,170,2171,106,31513,230
7,2,Reputation,1233,3,170,1521,106,33304,230
1,2,Reputation,1233,3,170,119,106,45481,230
3,2,Reputation,1233,1,170,134,106,70086,230
1,2,Reputation,1233,1,170,154,106,70124,230
7,2,Reputation,1233,0,170,31,106,78084,230
0,2,Reputation,1233,0,170,54,106,79229,230
0,2,Reputation,1233,1,170,96,106,83481,230
2,2,Reputation,1233,3,170,462,106,91970,230
7,2,Reputation,1233,1,170,47,106,91975,230
1,2,Reputation,1233,2,170,120,106,97051,230
2,2,Reputation,1233,0,170,34,106,113557,230
8,2,Reputation,1233,26,170,2122,106,114152,230
2,3,Reputation,898,26,82,4873,104,346,247
1,3,Reputation,898,1,82,87,104,1454,247
0,3,Reputation,898,2,82,76,104,67480,247
2,0,Reputation,7931,12,819,753,984,570,251
6,5,Reputation,5309,1,1160,387,1147,1160,253
3,5,Reputation,5309,10,1160,7210,1147,1266,253
0,5,Reputation,5309,7,1160,2435,1147,1455,253
0,5,Reputation,5309,22,1160,2240,1147,1761,253
2,5,Reputation,5309,5,1160,1196,1147,1787,253
0,5,Reputation,5309,11,1160,1702,1147,1866,253
0,5,Reputation,5309,3,1160,441,1147,1870,253
3,5,Reputation,5309,3,1160,1265,1147,1961,253
2,5,Reputation,5309,3,1160,191,1147,2008,253
4,5,Reputation,5309,34,1160,4337,1147,2234,253
10,5,Reputation,5309,0,1160,130,1147,2282,253
0,5,Reputation,5309,8,1160,541,1147,2410,253
0,5,Reputation,5309,4,1160,1259,1147,2728,253
2,5,Reputation,5309,6,1160,2101,1147,2844,253
3,5,Reputation,5309,6,1160,449,1147,3101,253
4,5,Reputation,5309,1,1160,1185,1147,3165,253
0,5,Reputation,5309,23,1160,2923,1147,3262,253
0,5,Reputation,5309,3,1160,272,1147,3309,253
3,5,Reputation,5309,17,1160,5446,1147,3425,253
1,5,Reputation,5309,16,1160,1518,1147,3458,253
10,5,Reputation,5309,6,1160,2090,1147,3820,253
2,5,Reputation,5309,28,1160,8386,1147,3931,253
0,5,Reputation,5309,23,1160,19094,1147,3943,253
1,5,Reputation,5309,8,1160,1462,1147,4013,253
4,5,Reputation,5309,9,1160,3567,1147,4062,253
1,5,Reputation,5309,9,1160,2030,1147,4165,253
3,5,Reputation,5309,4,1160,283,1147,4214,253
2,5,Reputation,5309,27,1160,1084,1147,4335,253
5,5,Reputation,5309,5,1160,161,1147,4667,253
3,5,Reputation,5309,10,1160,2033,1147,4812,253
0,5,Reputation,5309,5,1160,481,1147,4817,253
0,5,Reputation,5309,7,1160,1467,1147,4818,253
4,5,Reputation,5309,4,1160,728,1147,4834,253
3,5,Reputation,5309,41,1160,3963,1147,5278,253
2,5,Reputation,5309,3,1160,544,1147,5443,253
3,5,Reputation,5309,9,1160,15051,1147,5617,253
5,5,Reputation,5309,3,1160,1094,1147,5691,253
2,5,Reputation,5309,19,1160,6896,1147,5937,253
4,5,Reputation,5309,3,1160,620,1147,6042,253
0,5,Reputation,5309,5,1160,2646,1147,6081,253
2,5,Reputation,5309,8,1160,460,1147,6268,253
2,5,Reputation,5309,12,1160,454,1147,6375,253
2,5,Reputation,5309,8,1160,3627,1147,6478,253
0,5,Reputation,5309,13,1160,10961,1147,6581,253
0,5,Reputation,5309,8,1160,1626,1147,6912,253
1,5,Reputation,5309,14,1160,769,1147,7048,253
0,5,Reputation,5309,4,1160,1429,1147,7132,253
5,5,Reputation,5309,2,1160,144,1147,7172,253
1,5,Reputation,5309,3,1160,123,1147,8420,253
0,5,Reputation,5309,3,1160,159,1147,8442,253
0,5,Reputation,5309,5,1160,487,1147,8677,253
6,5,Reputation,5309,9,1160,1442,1147,9131,253
2,5,Reputation,5309,2,1160,201,1147,10051,253
6,5,Reputation,5309,7,1160,249,1147,10871,253
7,5,Reputation,5309,7,1160,278,1147,10874,253
2,5,Reputation,5309,3,1160,155,1147,11246,253
0,5,Reputation,5309,11,1160,642,1147,11266,253
2,5,Reputation,5309,9,1160,1321,1147,12029,253
0,5,Reputation,5309,3,1160,831,1147,12046,253
3,5,Reputation,5309,6,1160,605,1147,12081,253
1,5,Reputation,5309,5,1160,823,1147,13159,253
0,5,Reputation,5309,5,1160,379,1147,13211,253
2,5,Reputation,5309,6,1160,421,1147,13427,253
3,5,Reputation,5309,3,1160,285,1147,13721,253
2,5,Reputation,5309,3,1160,1542,1147,13817,253
1,5,Reputation,5309,5,1160,261,1147,13873,253
1,5,Reputation,5309,6,1160,1072,1147,13932,253
0,5,Reputation,5309,2,1160,23434,1147,15456,253
5,5,Reputation,5309,6,1160,1506,1147,15744,253
5,5,Reputation,5309,5,1160,682,1147,15840,253
0,5,Reputation,5309,3,1160,634,1147,16219,253
12,5,Reputation,5309,1,1160,289,1147,18323,253
0,5,Reputation,5309,9,1160,940,1147,19195,253
1,5,Reputation,5309,6,1160,724,1147,19227,253
0,5,Reputation,5309,14,1160,870,1147,19291,253
2,5,Reputation,5309,9,1160,1828,1147,19319,253
0,5,Reputation,5309,6,1160,172,1147,19412,253
0,5,Reputation,5309,7,1160,358,1147,19425,253
1,5,Reputation,5309,3,1160,877,1147,19524,253
2,5,Reputation,5309,3,1160,1816,1147,19675,253
3,5,Reputation,5309,15,1160,8366,1147,19681,253
0,5,Reputation,5309,13,1160,1839,1147,20032,253
1,5,Reputation,5309,6,1160,1217,1147,20227,253
4,5,Reputation,5309,5,1160,510,1147,20243,253
3,5,Reputation,5309,6,1160,250,1147,22059,253
3,5,Reputation,5309,3,1160,309,1147,23658,253
2,5,Reputation,5309,5,1160,3781,1147,27199,253
0,5,Reputation,5309,15,1160,6025,1147,29271,253
0,5,Reputation,5309,2,1160,93,1147,29272,253
1,5,Reputation,5309,11,1160,845,1147,31284,253
4,5,Reputation,5309,8,1160,200,1147,32292,253
0,5,Reputation,5309,2,1160,395,1147,32472,253
0,5,Reputation,5309,3,1160,261,1147,33063,253
